STREET_NAME,ST_RT_NO,ALL_CRASH,SPD_CRASH,KSI_CRASH,PED_CRASH,SPD_KSI_COUNT,PED_KSI_COUNT,ROUTE_SPD_CRASH,ROUTE_SPD_KSI_COUNT,ROUTE_PED_CRASH,ROUTE_PED_KSI_COUNT,ROUTE_KSI_CRASHES,ROUTE_ALL_CRASHES,ROUTE_MILES
BALTIMORE AV,13,164,9,5,31,0,4,141,30,251,45,109,1612,16.7323
FRANKFORD AV,13,494,42,35,98,13,10,141,30,251,45,109,1612,16.7323
GIRARD AV,13,55,11,5,1,1,0,141,30,251,45,109,1612,16.7323
HUNTING PARK AV,13,386,31,32,74,4,21,141,30,251,45,109,1612,16.7323
LEVICK ST,13,29,5,2,1,1,0,141,30,251,45,109,1612,16.7323
MANTUA AV,13,5,1,1,0,1,0,141,30,251,45,109,1612,16.7323
POWELTON AV,13,44,4,5,5,2,3,141,30,251,45,109,1612,16.7323
RIDGE AV,13,34,4,1,0,0,0,141,30,251,45,109,1612,16.7323
ROBBINS ST,13,36,2,0,2,0,0,141,30,251,45,109,1612,16.7323
ROOSEVELT BL,13,75,8,8,7,1,2,141,30,251,45,109,1612,16.7323
THIRTYEIGHTH ST,13,111,11,5,18,1,2,141,30,251,45,109,1612,16.7323
THIRTYFOURTH ST,13,68,11,4,1,5,0,141,30,251,45,109,1612,16.7323
THIRTYTHIRD ST,13,111,2,6,13,1,3,141,30,251,45,109,1612,16.7323
BROAD ST,611,2344,161,166,446,27,73,165,28,456,74,169,2393,9.3486
OLD YORK RD,611,24,4,1,2,1,0,165,28,456,74,169,2393,9.3486
PENN SQ,611,25,0,2,8,0,1,165,28,456,74,169,2393,9.3486
ARCH ST,3007,75,5,2,37,0,2,49,19,51,5,40,383,7.1518
ART MUSEUM CR,3007,30,1,3,1,0,1,49,19,51,5,40,383,7.1518
BENJAMIN FRANKLIN PY,3007,51,3,5,8,2,1,49,19,51,5,40,383,7.1518
KELLY DR,3007,227,40,30,5,17,1,49,19,51,5,40,383,7.1518
CHESTNUT ST,3,445,24,20,111,2,11,67,13,188,21,42,896,4.6193
COBBS CREEK PY,3,42,3,2,7,2,1,67,13,188,21,42,896,4.6193
MARKET ST,3,1,0,0,0,0,0,67,13,188,21,42,896,4.6193
WALNUT ST,3,408,40,20,70,9,9,67,13,188,21,42,896,4.6193
HUNTING PARK AV,G048,394,26,33,45,12,5,26,12,45,5,33,396,3.4089
HUNTING PARK CR,G048,2,0,0,0,0,0,26,12,45,5,33,396,3.4089
ALLEGHENY AV,2016,736,41,69,164,11,36,42,11,164,36,70,746,5.5805
SEDGLEY AV,2016,10,1,1,0,0,0,42,11,164,36,70,746,5.5805
BUSTLETON AV,532,337,39,20,42,11,5,40,11,44,5,20,354,4.5754
WELSH RD,532,17,1,0,2,0,0,40,11,44,5,20,354,4.5754
FRANKFORD AV,2007,542,39,38,114,10,19,39,10,114,19,38,542,6.2658
KENSINGTON AV,G046,294,14,27,78,10,15,14,10,78,15,27,294,2.3597
BARTRAM AV,291,112,8,7,3,1,0,82,9,114,8,36,738,9.8023
BROAD ST,291,313,13,13,106,2,7,82,9,114,8,36,738,9.8023
ISLAND AV,291,16,1,0,0,0,0,82,9,114,8,36,738,9.8023
MOYAMENSING AV,291,11,2,1,1,0,0,82,9,114,8,36,738,9.8023
PENROSE AV,291,215,42,12,3,6,1,82,9,114,8,36,738,9.8023
TWENTYSIXTH ST,291,71,16,3,1,0,0,82,9,114,8,36,738,9.8023
FIFTYSECOND ST,3017,347,32,23,93,9,13,34,9,111,15,26,471,4.3168999999999995
PARKSIDE AV,3017,50,0,2,6,0,2,34,9,111,15,26,471,4.3168999999999995
WHITBY AV,3017,74,2,1,12,0,0,34,9,111,15,26,471,4.3168999999999995
RIDGE AV,3009,456,24,27,83,8,12,24,8,83,12,27,456,9.2377
BARTRAM AV,3019,67,6,5,1,0,0,33,8,25,5,26,421,4.7747
ESSINGTON AV,3019,80,8,10,2,6,1,33,8,25,5,26,421,4.7747
PASSYUNK AV,3019,274,19,11,22,2,4,33,8,25,5,26,421,4.7747
ACADEMY RD,1013,222,29,14,17,7,4,29,7,17,4,14,222,5.046
CHRISTOPHER COLUMBUS BL,2001,186,10,18,25,4,11,34,7,84,22,43,566,10.1029
DELAWARE AV,2001,66,4,7,12,0,5,34,7,84,22,43,566,10.1029
OREGON AV,2001,140,5,6,35,0,4,34,7,84,22,43,566,10.1029
RICHMOND ST,2001,174,15,12,12,3,2,34,7,84,22,43,566,10.1029
COBBS CREEK PY,3015,386,22,21,30,0,3,41,5,77,7,33,592,5.8345
SIXTYTHIRD ST,3015,206,19,12,47,5,4,41,5,77,7,33,592,5.8345
COTTMAN AV,73,431,31,22,74,4,9,38,5,79,9,26,511,6.1089
NEW STATE RD,73,35,4,3,1,0,0,38,5,79,9,26,511,6.1089
PRINCETON AV,73,26,1,0,0,0,0,38,5,79,9,26,511,6.1089
STATE RD,73,13,1,1,0,1,0,38,5,79,9,26,511,6.1089
TORRESDALE AV,73,6,1,0,4,0,0,38,5,79,9,26,511,6.1089
GIRARD AV,2008,489,21,20,77,4,9,22,4,78,10,21,501,3.9518
POPLAR ST,2008,12,1,1,1,0,1,22,4,78,10,21,501,3.9518
LEHIGH AV,2014,494,27,48,115,4,28,27,4,115,28,48,494,4.482
MARKET ST,3010,398,22,19,107,3,13,22,3,107,13,19,398,4.3865
